Module                  Size  Used by
mtd                    98304  4 spi_nor,cmdlinepart
btbcm                  24576  1 btusb
mei_pxp                16384  0
mei_hdcp               28672  0
iwlwifi               638976  1 iwlmvm
i2c_i801               36864  0
cec                    94208  3 drm_display_helper,xe,i915
rapl                   20480  0
snd                   143360  26 snd_ctl_led,snd_hda_codec_generic,snd_seq,snd_seq_device,snd_hda_codec_hdmi,snd_hwdep,snd_hda_intel,snd_hda_codec,snd_hda_codec_realtek,snd_sof,snd_timer,snd_soc_hdac_hdmi,snd_compress,snd_soc_core,snd_pcm,snd_rawmidi
processor_thermal_power_floor    12288  1 processor_thermal_device
spi_intel_pci          12288  0
videobuf2_common       86016  4 videobuf2_vmalloc,videobuf2_v4l2,uvcvideo,videobuf2_memops
btmtk                  36864  1 btusb
i2c_mux                16384  1 i2c_i801
intel_cstate           24576  0
mei_me                 53248  2
wmi_bmof               12288  0
rc_core                73728  1 cec
processor_thermal_mbox    12288  4 processor_thermal_power_floor,processor_thermal_wt_req,processor_thermal_rfim,processor_thermal_wt_hint
spi_intel              32768  1 spi_intel_pci
i2c_smbus              16384  1 i2c_i801
cfg80211             1384448  3 iwlmvm,iwlwifi,mac80211
mc                     81920  4 videodev,videobuf2_v4l2,uvcvideo,videobuf2_common
soundcore              16384  2 snd_ctl_led,snd
ideapad_laptop         65536  0
bluetooth            1028096  34 btrtl,btmtk,btintel,btbcm,bnep,btusb,rfcomm
mei                   172032  5 mei_hdcp,mei_pxp,mei_me
int3403_thermal        16384  0
i2c_algo_bit           16384  2 xe,i915
intel_soc_dts_iosf     16384  1 processor_thermal_device_pci_legacy
sparse_keymap          12288  1 ideapad_laptop
igen6_edac             24576  0
intel_pmc_core        118784  0
platform_profile       12288  1 ideapad_laptop
int340x_thermal_zone    16384  2 int3403_thermal,processor_thermal_device
intel_vsec             20480  1 intel_pmc_core
pmt_telemetry          16384  1 intel_pmc_core
int3400_thermal        24576  0
input_leds             12288  0
acpi_tad               20480  0
acpi_thermal_rel       20480  1 int3400_thermal
pmt_class              16384  1 pmt_telemetry
acpi_pad              184320  0
joydev                 32768  0
serio_raw              20480  0
mac_hid                12288  0
sch_fq_codel           24576  1
msr                    12288  0
parport_pc             53248  0
ppdev                  24576  0
lp                     28672  0
parport                73728  3 parport_pc,lp,ppdev
efi_pstore             12288  0
nfnetlink              20480  1
dmi_sysfs              24576  0
ip_tables              32768  0
x_tables               65536  1 ip_tables
autofs4                57344  2
hid_logitech_hidpp     65536  0
hid_logitech_dj        36864  0
usbhid                 77824  2 hid_logitech_dj,hid_logitech_hidpp
spi_pxa2xx_platform    12288  0
nvme                   61440  2
dw_dmac                12288  0
hid_multitouch         36864  0
nvme_core             221184  3 nvme
dw_dmac_core           36864  1 dw_dmac
hid_generic            12288  0
nvme_auth              28672  1 nvme_core
8250_dw                20480  0
spi_pxa2xx_core        28672  1 spi_pxa2xx_platform
i2c_hid_acpi           12288  0
intel_lpss_pci         28672  2
xhci_pci               24576  0
ahci                   49152  0
video                  77824  3 ideapad_laptop,xe,i915
i2c_hid                40960  1 i2c_hid_acpi
intel_lpss             12288  1 intel_lpss_pci
crc32_pclmul           12288  0
xhci_pci_renesas       20480  1 xhci_pci
libahci                53248  1 ahci
vmd                    24576  0
idma64                 20480  0
hid                   262144  6 i2c_hid,usbhid,hid_multitouch,hid_generic,hid_logitech_dj,hid_logitech_hidpp
wmi                    28672  3 video,wmi_bmof,ideapad_laptop
pinctrl_tigerlake      28672  2
